Name: models/embedding-gecko-001, Display: Embedding Gecko
Name: models/gemini-2.5-flash, Display: Gemini 2.5 Flash
Name: models/gemini-2.5-pro, Display: Gemini 2.5 Pro
Name: models/gemini-2.0-flash-exp, Display: Gemini 2.0 Flash Experimental
Name: models/gemini-2.0-flash, Display: Gemini 2.0 Flash
Name: models/gemini-2.0-flash-001, Display: Gemini 2.0 Flash 001
Name: models/gemini-2.0-flash-exp-image-generation, Display: Gemini 2.0 Flash (Image Generation) Experimental
Name: models/gemini-2.0-flash-lite-001, Display: Gemini 2.0 Flash-Lite 001
Name: models/gemini-2.0-flash-lite, Display: Gemini 2.0 Flash-Lite
Name: models/gemini-2.0-flash-lite-preview-02-05, Display: Gemini 2.0 Flash-Lite Preview 02-05
Name: models/gemini-2.0-flash-lite-preview, Display: Gemini 2.0 Flash-Lite Preview
Name: models/gemini-exp-1206, Display: Gemini Experimental 1206
Name: models/gemini-2.5-flash-preview-tts, Display: Gemini 2.5 Flash Preview TTS
Name: models/gemini-2.5-pro-preview-tts, Display: Gemini 2.5 Pro Preview TTS
Name: models/gemma-3-1b-it, Display: Gemma 3 1B
Name: models/gemma-3-4b-it, Display: Gemma 3 4B
Name: models/gemma-3-12b-it, Display: Gemma 3 12B
Name: models/gemma-3-27b-it, Display: Gemma 3 27B
Name: models/gemma-3n-e4b-it, Display: Gemma 3n E4B
Name: models/gemma-3n-e2b-it, Display: Gemma 3n E2B
Name: models/gemini-flash-latest, Display: Gemini Flash Latest
Name: models/gemini-flash-lite-latest, Display: Gemini Flash-Lite Latest
Name: models/gemini-pro-latest, Display: Gemini Pro Latest
Name: models/gemini-2.5-flash-lite, Display: Gemini 2.5 Flash-Lite
Name: models/gemini-2.5-flash-image-preview, Display: Nano Banana
Name: models/gemini-2.5-flash-image, Display: Nano Banana
Name: models/gemini-2.5-flash-preview-09-2025, Display: Gemini 2.5 Flash Preview Sep 2025
Name: models/gemini-2.5-flash-lite-preview-09-2025, Display: Gemini 2.5 Flash-Lite Preview Sep 2025
Name: models/gemini-3-pro-preview, Display: Gemini 3 Pro Preview
Name: models/gemini-3-flash-preview, Display: Gemini 3 Flash Preview
Name: models/gemini-3-pro-image-preview, Display: Nano Banana Pro
Name: models/nano-banana-pro-preview, Display: Nano Banana Pro
Name: models/gemini-robotics-er-1.5-preview, Display: Gemini Robotics-ER 1.5 Preview
Name: models/gemini-2.5-computer-use-preview-10-2025, Display: Gemini 2.5 Computer Use Preview 10-2025
Name: models/deep-research-pro-preview-12-2025, Display: Deep Research Pro Preview (Dec-12-2025)
Name: models/embedding-001, Display: Embedding 001
Name: models/text-embedding-004, Display: Text Embedding 004
Name: models/gemini-embedding-exp-03-07, Display: Gemini Embedding Experimental 03-07
Name: models/gemini-embedding-exp, Display: Gemini Embedding Experimental
Name: models/gemini-embedding-001, Display: Gemini Embedding 001
Name: models/aqa, Display: Model that performs Attributed Question Answering.
Name: models/imagen-4.0-generate-preview-06-06, Display: Imagen 4 (Preview)
Name: models/imagen-4.0-ultra-generate-preview-06-06, Display: Imagen 4 Ultra (Preview)
Name: models/imagen-4.0-generate-001, Display: Imagen 4
Name: models/imagen-4.0-ultra-generate-001, Display: Imagen 4 Ultra
Name: models/imagen-4.0-fast-generate-001, Display: Imagen 4 Fast
Name: models/veo-2.0-generate-001, Display: Veo 2
Name: models/veo-3.0-generate-001, Display: Veo 3
Name: models/veo-3.0-fast-generate-001, Display: Veo 3 fast
Name: models/veo-3.1-generate-preview, Display: Veo 3.1
Name: models/veo-3.1-fast-generate-preview, Display: Veo 3.1 fast
Name: models/gemini-2.5-flash-native-audio-latest, Display: Gemini 2.5 Flash Native Audio Latest
Name: models/gemini-2.5-flash-native-audio-preview-09-2025, Display: Gemini 2.5 Flash Native Audio Preview 09-2025
Name: models/gemini-2.5-flash-native-audio-preview-12-2025, Display: Gemini 2.5 Flash Native Audio Preview 12-2025
